pose_number A tau B
1 0.831050895812321 10.2665965078744 0.00137398897504555
2 0.831510712857339 10.2453349690579 0.00137211049695587
3 0.819570089642241 10.8353568564114 0.00143058705721261
4 0.821032157718516 10.7623943036591 0.00142303810162271
5 0.830800871058199 10.2790539465409 0.001375513727762
6 0.825569199381107 10.5435418540683 0.00140079930800481
7 0.831004954502768 10.2630615309594 0.00137346247962857
8 0.823439986315955 10.6365472201671 0.00140943916677666
9 0.823372053725101 10.6359887110743 0.00140956196780187
10 0.831368239910065 10.2641127439795 0.00137490684113054
